"Story","Title","Result","Date","Stability","Duration (s)"
"Login en SauceDemo","Login exitoso con credenciales válidas","PENDING","2025-05-20T10:29:44.3554619-05:00[America/Bogota]","0.0","0.74"
"Login en SauceDemo","Login exitoso con credenciales válidas","FAILURE","2025-05-20T11:30:14.5425189-05:00[America/Bogota]","0.0","21.72"
